wave	note	inbox	note_words	source_words	floor	gap
2	Research/2026-08-11 - NVDA Superposition Open Weights Execution Share - deep-dive.md	_Inbox/processed/Nvidia Special Series Part 1 Open Weights Expand the Compute Market.md	345	5120	1843	1498
2	Research/2026-08-10 - SPCX PhotonCap First Earnings 10GW Hardware Chain - deep-dive.md	_Inbox/processed/SpaceX First Earnings Report Revisiting the S-1 and Hardware Value Chain Behind 10GW.md	361	3966	1824	1463
2	Research/2026-08-05 - SerDes Part 1 Technology Before CPO - deep-dive.md	_Inbox/processed/SerDes Part 1 The Technology You Should Know Before CPO.md	295	3138	1443	1148
2	Research/2026-08-10 - NVDA TileRT Ultra-High Interactivity InferenceX - deep-dive.md	_Inbox/processed/Ultra-High Interactivity on NVIDIA GPUs - TileRT InferenceX.md	589	3723	1712	1123
2	Research/2026-08-06 - AIP Arteris Chiplet NoC Interconnect Thesis - deep-dive.md	_Inbox/processed/Arteris AIP Chiplet Interconnect Thesis The Next ARM of the AI Era.md	277	2726	1253	976
2	Research/2026-08-08 - LITE COHR Laser Market Repriced by Scale-Up CPO - deep-dive.md	_Inbox/processed/The Laser Market Repriced by Scale-Up CPO.md	289	2749	1264	975
2	Research/2026-08-11 - MU NVDA Rubin Ultra 8-Hi HBM Despec - deep-dive.md	_Inbox/processed/What Does Rubin Ultras 8-Hi HBM Mean.md	377	2897	1332	955
2	Research/2026-08-04 - MPWR Vicor MLCC Power Delivery Bottleneck - deep-dive.md	_Inbox/processed/The Power Delivery Bottleneck in AI Data Centers.md	253	2609	1200	947
2	Research/2026-08-07 - SpaceX 10GW 2027 Microsoft Offtake - deep-dive.md	_Inbox/processed/SpaceX 10GW in 2027 - Why Its Real.md	344	2622	1206	862
3	Research/2026-08-11 - MU CXMT Apple DRAM Repricing Fourth Supplier - deep-dive.md	_Inbox/processed/Apple CXMT and the Coming Repricing of the Global DRAM Market.md	360	1876	1088	728
3	Research/2026-08-13 - NBIS NVDA - Nebius Q2 5GW Power Target - news.md	_Inbox/processed/2026-08-13 - NBIS NVDA - Nebius-Q2-5GW-power-target.md	406	1668	967	561
3	Research/2026-08-13 - NVDA LITE AAOI TSM - Nvidia Spectrum-6 CPO Shipping - news.md	_Inbox/processed/2026-08-13 - NVDA LITE AAOI TSM - Nvidia-Spectrum-6-CPO-shipping.md	433	2116	973	540
3	Research/2026-08-04 - LITE COHR Optical Trade Phase Two Geopolitics - deep-dive.md	_Inbox/processed/The Trigger for Phase Two of the Optical Trade Was Geopolitics Not Technology.md	193	1236	716	523
3	Research/2026-08-07 - Citrini Protection Matters Cybersecurity Winners - deep-dive.md	_Inbox/processed/Protection Matters.md	238	1283	744	506
3	Research/2026-08-07 - GOOGL Gemini Decline GCP Financialization - deep-dive.md	_Inbox/processed/Gemini is Cooked but GCP is Cooking.md	489	2162	994	505
3	Research/2026-08-11 - ATRO Astronics In-Seat Power Moat Thesis - deep-dive.md	_Inbox/processed/Astronics ATRO Aerospace Defense Electronics Long Thesis.md	208	1210	701	493
3	Research/2026-08-06 - ALAB Astera Labs Switch Company Scorpio X - deep-dive.md	_Inbox/processed/Astera Labs is a Switch Company in Connectivity Clothing.md	221	1053	610	389
3	Research/2026-08-13 - AMD TSM AVGO - Instinct MI455X CDNA5 TSMC N2 - news.md	_Inbox/processed/2026-08-13 - AMD TSM AVGO - Instinct-MI455X-CDNA5-TSMC-N2.md	430	1287	746	316
3	Research/2026-08-13 - NVDA TSM AVGO MRVL - Amazon 2026 Capex 220B - news.md	_Inbox/processed/2026-08-13 - NVDA TSM AVGO MRVL - Amazon-2026-capex-220B.md	421	1226	711	290
4	Research/2026-08-13 - LITE AAOI - Lumentum Q4 FY26 1.25B Guide - news.md	_Inbox/processed/2026-08-13 - LITE AAOI - Lumentum-Q4-FY26-1.25B-guide.md	417	1177	682	265
4	Research/2026-08-12 - LITE Irrational Analysis Q4 FY26 Call Alpha - deep-dive.md	_Inbox/processed/Lumentum Q4 FY26 Earnings.md	266	756	491	225
4	Research/2026-08-13 - NVDA NBIS - CoreWeave Q2 104B Backlog - news.md	_Inbox/processed/2026-08-13 - NVDA NBIS - CoreWeave-Q2-104B-backlog.md	461	1075	623	162
4	Research/2026-08-13 - 000660 AMAT LRCX - SK hynix Yongin Y2 Cheongju M17 Fabs - news.md	_Inbox/processed/2026-08-13 - 000660 AMAT LRCX - SK-hynix-Yongin-Cheongju-fabs.md	447	958	555	108
