note	note_words	inbox	source_words	score	source_url
Research/2026-08-08 - LITE COHR Laser Market Repriced by Scale-Up CPO - deep-dive.md	289	_Inbox/processed/The Laser Market Repriced by Scale-Up CPO.md	2749	16.01	https://damnang2.substack.com/p/the-laser-market-repriced-by-scale
Research/2026-08-08 - Oklo SMR Mass Production - news.md	1241	_Inbox/processed/5th Small Modular Reactor Validated Since June, Poised For Mass Production.md	895	13.63	https://www.zerohedge.com/energy/5th-small-modular-reactor-validated-june-poised-mass-production
Research/2026-08-10 - NVDA TileRT Ultra-High Interactivity InferenceX - deep-dive.md	589	_Inbox/processed/Ultra-High Interactivity on NVIDIA GPUs - TileRT InferenceX.md	3723	15.72	https://newsletter.semianalysis.com/p/ultra-high-interactivity-on-nvidia
Research/2026-08-10 - SPCX PhotonCap First Earnings 10GW Hardware Chain - deep-dive.md	361	_Inbox/processed/SpaceX First Earnings Report Revisiting the S-1 and Hardware Value Chain Behind 10GW.md	3966	14.63	https://photoncap.net/p/spacexs-first-earnings-report-revisiting
Research/2026-08-11 - ATRO Astronics In-Seat Power Moat Thesis - deep-dive.md	208	_Inbox/processed/Astronics ATRO Aerospace Defense Electronics Long Thesis.md	1210	14.07	https://temple8capital.substack.com/p/astronics-atro-in-seat-power-moat
Research/2026-08-11 - LITE PhotonCap Innolight FCC Ban Optics Chain - deep-dive.md	278	_Inbox/processed/Five Days After Innolights 6.8B FCC Ban Draft and AI Optical Module Supply Chain.md	4938	13.74	https://photoncap.net/p/five-days-after-innolights-68b-the
Research/2026-08-11 - MU CXMT Apple DRAM Repricing Fourth Supplier - deep-dive.md	360	_Inbox/processed/Apple CXMT and the Coming Repricing of the Global DRAM Market.md	1876	14.84	https://tspasemiconductor.substack.com/p/apple-cxmt-and-the-coming-repricing
Research/2026-08-11 - MU NVDA Rubin Ultra 8-Hi HBM Despec - deep-dive.md	377	_Inbox/processed/What Does Rubin Ultras 8-Hi HBM Mean.md	2897	13.86	https://damnang2.substack.com/p/what-does-rubin-ultras-8-hi-hbm-mean
Research/2026-08-11 - NVDA Superposition AI Factory Underwriting - deep-dive.md	294	_Inbox/processed/Nvidia Special Series Part 2 How Do You Underwrite an AI Factory.md	6746	13.10	https://superpositionv.substack.com/p/nvidia-special-series-part-2-how
Research/2026-08-11 - NVDA Superposition Open Weights Execution Share - deep-dive.md	345	_Inbox/processed/Nvidia Special Series Part 1 Open Weights Expand the Compute Market.md	5120	13.54	https://superpositionv.substack.com/p/nvidia-special-series-part-1-open
Research/2026-08-12 - 000660 NVDA AMD - Samsung HBM4 Golden Yield 80pct - news.md	364	_Inbox/processed/2026-08-12 - 000660 NVDA AMD - Samsung HBM4 Golden Yield 80pct - news.md	388	17.05	https://en.sedaily.com/finance/2026/08/10/samsung-hits-80-percent-yield-on-hbm4-speeds-up-hbm4e
Research/2026-08-12 - 000660 SNDK - SK hynix Solidigm Dalian NAND Expansion - news.md	302	_Inbox/processed/2026-08-12 - 000660 SNDK - SK hynix Solidigm Dalian NAND Expansion - news.md	327	17.01	https://www.tomshardware.com/pc-components/ssds/sk-hynix-to-expand-production-capacity-in-china-as-it-mulls-solidigm-ipo-report-claims-second-phase-of-fab-could-boost-local-production-by-50-percent
Research/2026-08-12 - 000660 SNDK 285A - Nintendo Memory Cost Inflation - news.md	230	_Inbox/processed/2026-08-12 - Nintendo Tariff Refunds Memory Crunch - news.md	197	13.49	https://www.supplychaindive.com/news/nintendo-recoups-300m-in-tariff-refunds-as-memory-crunch-intensifies/827380/
Research/2026-08-12 - 2802 - Ajinomoto Raises Guidance on AI Electronic Materials ABF - news.md	303	_Inbox/processed/2026-08-12 - 2802 - Ajinomoto Raises Guidance on AI Electronic Materials ABF - news.md	326	17.03	https://www.ajinomoto.com/cms_wp_ajnmt_global/wp-content/uploads/pdf/2026_08_06_02E.pdf
Research/2026-08-12 - 6857 000660 BESI - HBM 3D Assembly Test Yield - news.md	265	_Inbox/processed/2026-08-12 - HBM Testbed for 3D Assembly Yield - news.md	343	14.26	https://semiengineering.com/hbm-becomes-testbed-for-3d-assembly-yield/
Research/2026-08-12 - 6981 VICR - MLCC AI Demand Price Hikes Premiums - news.md	336	_Inbox/processed/2026-08-12 - 6981 VICR - MLCC AI Demand Price Hikes Premiums - news.md	361	17.00	https://www.koreaherald.com/article/10829283
Research/2026-08-12 - AMAT LRCX KLAC - SpaceX Terafab Off-Grid Power - news.md	308	_Inbox/processed/2026-08-12 - AMAT LRCX KLAC AEHR - SpaceX Terafab Off-Grid Power - news.md	315	16.74	https://www.datacenterknowledge.com/infrastructure/spacex-plans-to-power-16-8b-terafab-without-the-grid
Research/2026-08-12 - AMAT LRCX KLAC AEHR - SpaceX Terafab Off-Grid Power - news.md	292	_Inbox/processed/2026-08-12 - AMAT LRCX KLAC AEHR - SpaceX Terafab Off-Grid Power - news.md	315	17.09	https://www.datacenterknowledge.com/infrastructure/spacex-plans-to-power-16-8b-terafab-without-the-grid
Research/2026-08-12 - AVGO MRVL - Arista Q2 3B Supply Chain - news.md	253	_Inbox/processed/2026-08-12 - Arista Q2 3B Revenue Supply Chain - news.md	184	14.88	https://www.datacenterdynamics.com/en/news/arista-smashes-revenue-records-with-3bn-ceo-bullish-on-supply-chain-overhaul/
Research/2026-08-12 - LITE Irrational Analysis Q4 FY26 Call Alpha - deep-dive.md	266	_Inbox/processed/Lumentum Q4 FY26 Earnings.md	756	13.00	https://irrationalanalysis.substack.com/p/lumentum-q4-fy26-earnings
Research/2026-08-12 - LITE PhotonCap FQ4 2026 First 1B Quarter - deep-dive.md	391	_Inbox/processed/Lumentum First 1B Quarter FQ4 2026 Earnings Analysis.md	4494	14.94	https://photoncap.net/p/lumentums-first-1b-quarter-fq4-2026
Research/2026-08-12 - Macro - AWS Calvert County DC Withdrawal - news.md	308	_Inbox/processed/2026-08-12 - AWS Calvert County Data Center Withdrawal - news.md	255	15.44	https://www.datacenterknowledge.com/data-center-site-selection/aws-data-center-withdrawal-signals-growing-political-community-challenges
Research/2026-08-12 - Macro - Theseus Infrastructure Anthropic GIC Macquarie - news.md	281	_Inbox/processed/2026-08-12 - Theseus Infrastructure Anthropic GIC Macquarie - news.md	195	16.25	https://www.macquarie.com/us/en/about/news/2026/anthropic-mam-gic-data-centre-infrastructure-partnership.html
Research/2026-08-12 - NVDA - Nvidia 500B AI Infrastructure Financing Platforms - news.md	307	_Inbox/processed/2026-08-12 - NVDA - Nvidia 500B AI Infrastructure Financing Platforms - news.md	332	16.97	https://nypost.com/2026/08/11/business/nvidia-partners-with-wall-street-giants-to-raise-500-billion-for-ai-buildout/
Research/2026-08-12 - NVDA - Risky Business Stratechery AI Financing - news.md	334	_Inbox/processed/2026-08-12 - Nvidia Risky Business Stratechery - news.md	483	14.90	https://stratechery.com/2026/nvidias-risky-business/
Research/2026-08-12 - NVDA 000660 - Kyber HBM4E Rack Economics - news.md	329	_Inbox/processed/2026-08-12 - NVDA 000660 - Kyber HBM4E Rack Economics - news.md	355	16.93	https://wccftech.com/nvidias-kyber-racks-to-sport-340-4tb-of-dram-with-hbm4e-priced-at-19-76-gb-and-each-rack-reportedly-priced-at-41-6-million/
Research/2026-08-12 - NVDA AVGO MRVL NOW - Damodaran Situational Awareness Blow-up - news.md	297	_Inbox/processed/2026-08-12 - Damodaran Situational Awareness Blow-up - news.md	399	14.86	https://aswathdamodaran.blogspot.com/2026/08/the-situational-awareness-blow-up.html
Research/2026-08-12 - NVDA AVGO TSM 000660 - Alphabet Raises 2026 Capex to 205B - news.md	287	_Inbox/processed/2026-08-12 - NVDA AVGO TSM 000660 - Alphabet Raises 2026 Capex to 205B - news.md	314	17.40	https://www.fool.com/investing/2026/08/11/sundar-pichai-alphabet-2026-capex-forecast-buy/
Research/2026-08-12 - TSM AMAT LRCX KLAC - TSMC Board US29.4B Capex Sony JV - news.md	310	_Inbox/processed/2026-08-12 - TSM AMAT LRCX KLAC - TSMC Board US29.4B Capex Sony JV - news.md	334	17.09	https://www.stocktitan.net/sec-filings/TSM/6-k-taiwan-semiconductor-manufacturing-co-ltd-current-report-foreign--b6d24d3b9a4e.html
Research/2026-08-12 - TSM BESI AMAT - TSMC CoWoS 5.5x Reticle 99pct Yield - news.md	418	_Inbox/processed/2026-08-12 - TSM BESI AMAT - TSMC CoWoS 5.5x Reticle 99pct Yield - news.md	447	17.05	https://udn.com/news/story/7240/9684444
Research/2026-08-13 - 000660 AMAT LRCX - SK hynix Yongin Y2 Cheongju M17 Fabs - news.md	447	_Inbox/processed/2026-08-13 - 000660 AMAT LRCX - SK-hynix-Yongin-Cheongju-fabs.md	958	16.43	https://news.skhynix.com/en/fab-facility-investment-2026/
Research/2026-08-13 - 000660 MU - Samsung zHBM 3D Memory Vision FMS 2026 - news.md	901	_Inbox/processed/Samsung's zHBM stacks memory on top of AI chips to promise 8x the speed of HBM5.md	451	13.33	https://gagadget.com/en/720940-samsungs-zhbm-stacks-memory-on-top-of-ai-chips-to-promise-8x-the-speed-of-hbm5/
Research/2026-08-13 - AEHR - 22M AI WLBI Follow-on Order - news.md	347	_Inbox/processed/2026-08-13 - AEHR - 22M-AI-WLBI-follow-on-order.md	487	16.77	https://www.aehr.com/2026/08/aehr-receives-22-million-follow-on-order-for-ai-processor-wafer-level-burn-in-systems/
Research/2026-08-13 - AMD TSM AVGO - Instinct MI455X CDNA5 TSMC N2 - news.md	430	_Inbox/processed/2026-08-13 - AMD TSM AVGO - Instinct-MI455X-CDNA5-TSMC-N2.md	1287	16.94	https://www.servethehome.com/amd-instinct-mi455x-deep-dive-cdna-5-marks-the-next-era-of-instinct/
Research/2026-08-13 - LITE AAOI - Lumentum Q4 FY26 1.25B Guide - news.md	417	_Inbox/processed/2026-08-13 - LITE AAOI - Lumentum-Q4-FY26-1.25B-guide.md	1177	16.87	https://www.businesswire.com/news/home/20260811004279/en/
Research/2026-08-13 - MU - DDR HBM Yield vs Samsung SK Hynix Deep Dive.md	1444	_Inbox/processed/2026-08-12 - HBM Testbed for 3D Assembly Yield - news.md	343	1.62	https://semiengineering.com/hbm-becomes-testbed-for-3d-assembly-yield/
Research/2026-08-13 - NBIS CRWV - Economics of a Neocloud Unit Model - deep-dive.md	1289	_Inbox/processed/The Economics of a Neocloud - 5 Jul 26.md	729	13.96	https://degentradingdaily.substack.com/p/the-economics-of-a-neocloud-5-jul
Research/2026-08-13 - NBIS NVDA - Nebius Q2 5GW Power Target - news.md	406	_Inbox/processed/2026-08-13 - NBIS NVDA - Nebius-Q2-5GW-power-target.md	1668	16.86	https://assets.nebius.com/assets/a6ecfd85-a6cb-4967-8ef7-9a25bd261f9c/SHLQ226.pdf
Research/2026-08-13 - NET PANW - Cloudflare FedRAMP High - news.md	307	_Inbox/processed/2026-08-13 - NET PANW - Cloudflare-FedRAMP-High.md	691	16.77	https://www.cloudflare.com/press/press-releases/2026/cloudflare-achieves-fedramp-high-authorization-to-secure-and-accelerate-the-u-s-governments-critical-missions/
Research/2026-08-13 - NVDA LITE AAOI TSM - Nvidia Spectrum-6 CPO Shipping - news.md	433	_Inbox/processed/2026-08-13 - NVDA LITE AAOI TSM - Nvidia-Spectrum-6-CPO-shipping.md	2116	17.00	https://www.techtimes.com/articles/324160/20260812/nvidia-ships-co-packaged-optics-switch-ecosystem-testing-gap-widens.htm
Research/2026-08-13 - NVDA NBIS - CoreWeave Q2 104B Backlog - news.md	461	_Inbox/processed/2026-08-13 - NVDA NBIS - CoreWeave-Q2-104B-backlog.md	1075	16.79	https://siliconangle.com/2026/08/11/coreweave-coasts-solid-earnings-beat-sending-stock-higher-hours/
Research/2026-08-13 - NVDA TSM AVGO MRVL - Amazon 2026 Capex 220B - news.md	421	_Inbox/processed/2026-08-13 - NVDA TSM AVGO MRVL - Amazon-2026-capex-220B.md	1226	17.31	https://www.datacenterknowledge.com/infrastructure/amazon-lifts-ai-infrastructure-spending-to-220b-as-demand-outpaces-capacity
Research/2026-08-13 - SNDK 285A - Kioxia SanDisk 2Tb QLC BiCS9 - news.md	319	_Inbox/processed/2026-08-13 - SNDK 285A - Kioxia-Sandisk-2Tb-QLC-BiCS9.md	485	16.93	https://www.sandisk.com/company/newsroom/press-releases/2026/2026-08-12-kioxia-and-sandisk-unveil-new-high-performance-qlc-3d-flash-memory-for-ai-and-data-intensive-apps
Research/2026-08-13 - SPCX Q2-2026 - earnings.md	1690	_Inbox/processed/Lumentum First 1B Quarter FQ4 2026 Earnings Analysis.md	4494	2.08	https://photoncap.net/p/lumentums-first-1b-quarter-fq4-2026
